w1,w2,w3
0.30171,0.048197,0.11536
0.24699,0.032007,0.088958
0.2576,0.04105,0.098417
0.26907,0.039878,0.10059
0.2549,0.035523,0.093637
0.25865,0.037564,0.096132
0.24908,0.031603,0.089213
0.24369,0.031047,0.087379
0.25861,0.033043,0.092797
0.24077,0.029694,0.085609
0.26695,0.041758,0.10141
0.33861,0.067223,0.13912
0.27598,0.048112,0.10848
0.25973,0.038073,0.096791
0.27349,0.040331,0.1021
0.30802,0.051434,0.11941
0.26068,0.038896,0.097647
0.30191,0.05066,0.11722
0.27556,0.040386,0.10269
0.32109,0.05607,0.12627
0.24203,0.030696,0.086681
0.25386,0.036869,0.094351
0.24817,0.029122,0.087149
0.24907,0.032861,0.090137
0.29619,0.0493,0.1147
0.30247,0.047153,0.11479
0.29387,0.0473,0.11262
0.24752,0.032174,0.089221
0.24466,0.032307,0.08856
0.26671,0.040246,0.10024
0.23914,0.02962,0.085124
0.24173,0.031721,0.087355
0.26416,0.035171,0.095832
0.26534,0.037924,0.098167
0.29956,0.04252,0.11061
0.24037,0.032066,0.087247
0.27098,0.040829,0.1018
0.30058,0.05486,0.11995
0.24439,0.03242,0.088571
0.24957,0.033781,0.090945
0.30452,0.052495,0.11926
0.28662,0.046346,0.11
0.32653,0.059524,0.13025
0.25218,0.035921,0.093209
0.2504,0.032385,0.090139
0.26663,0.036391,0.097384
0.28556,0.032619,0.099625
0.27936,0.045782,0.10766
0.30603,0.05342,0.12034
0.26158,0.037445,0.09682
0.3408,0.07121,0.14263
0.31436,0.053815,0.12283
0.31682,0.057074,0.12588
0.25693,0.03339,0.092607
0.30129,0.05209,0.1181
0.26153,0.036876,0.096388
0.29166,0.044222,0.10977
0.27772,0.044557,0.10632
0.33282,0.066148,0.13679
0.3649,0.085918,0.15982
0.29807,0.048174,0.11437
0.32517,0.057911,0.12871
0.27095,0.028033,0.092383
0.24246,0.031206,0.087167
0.23489,0.024585,0.080297
0.29057,0.04523,0.11022
0.2701,0.042409,0.10273
0.28493,0.037322,0.10291
0.31186,0.054965,0.12302
0.23509,0.027284,0.082335
0.23672,0.028379,0.08357
0.31528,0.057262,0.12561
0.28195,0.044269,0.10723
0.29757,0.050578,0.11601
0.29737,0.046085,0.11265
0.26207,0.040625,0.099288
0.27433,0.042447,0.10388
0.29591,0.046674,0.1127
0.34167,0.071075,0.14276
0.28246,0.044217,0.10733
0.29162,0.051174,0.11487
0.28697,0.042734,0.10743
0.31341,0.054251,0.1229
0.28974,0.046405,0.11087
0.26611,0.036933,0.097645
0.2789,0.045539,0.10736
0.30481,0.048088,0.1161
0.24728,0.034965,0.091208
0.32215,0.059959,0.12942
0.26013,0.038336,0.09709
0.25949,0.034465,0.094076
0.3285,0.064199,0.13421
0.30616,0.053479,0.12042
0.28667,0.046683,0.11026
0.27224,0.037196,0.09946
0.25869,0.031751,0.091868
0.27419,0.033766,0.097456
0.31348,0.053409,0.1223
0.333,0.066839,0.13735
0.34483,0.068948,0.14203
0.34864,0.074593,0.14719
0.32355,0.05958,0.12951
0.26432,0.037143,0.097323
0.28745,0.046212,0.11012
0.25678,0.033198,0.092427
0.25327,0.034217,0.092245
0.33635,0.066697,0.13813
0.27877,0.042273,0.10492
0.28664,0.045553,0.10942
0.252,0.035205,0.092635
0.31291,0.055714,0.12385
0.35062,0.075599,0.14845
0.25533,0.033388,0.092182
0.34017,0.069115,0.14092
0.38607,0.10282,0.17786
0.25781,0.033951,0.093254
0.30267,0.052083,0.11847
0.2436,0.0325,0.088421
0.31501,0.055699,0.12439
0.30368,0.050698,0.11771
0.29263,0.045774,0.11117
0.25593,0.036827,0.09487
0.30107,0.050668,0.117
0.28952,0.047099,0.11132
0.29007,0.052134,0.11516
0.28001,0.044311,0.10675
0.28568,0.040742,0.10563
0.28728,0.046146,0.11002
0.36196,0.084261,0.15783
0.30056,0.051196,0.11725
0.26999,0.042169,0.10252
0.33631,0.070042,0.14058
0.25203,0.026901,0.086539
0.3388,0.064195,0.13694
0.32532,0.057692,0.12859
0.31695,0.056083,0.12519
0.26182,0.038637,0.09776
0.28241,0.04554,0.10829
0.31053,0.049886,0.11893
0.27808,0.042017,0.10455
0.34258,0.068668,0.14123
0.31653,0.053587,0.12324
0.29046,0.048365,0.1125
0.25182,0.033965,0.091676
0.26264,0.037714,0.097299
0.34591,0.072151,0.14467
0.34426,0.070464,0.14299
0.2557,0.038841,0.096289
0.29351,0.043857,0.10999
0.28289,0.043654,0.10703
0.33267,0.061881,0.13361
0.27986,0.044426,0.10679
0.32557,0.065465,0.13437
0.33606,0.065339,0.13705
0.29006,0.049363,0.11313
0.25463,0.033449,0.092042
0.34161,0.070854,0.14258
0.28558,0.045398,0.10902
0.32143,0.055413,0.12588
0.3475,0.073532,0.14611
0.36023,0.081848,0.15559
0.26765,0.040518,0.10069
0.31925,0.059966,0.12865
0.28255,0.043501,0.10683
0.29276,0.052183,0.11591
0.26286,0.034281,0.094832
0.26463,0.039304,0.098995
0.35347,0.077473,0.15059
0.34704,0.070915,0.14406
0.32079,0.060043,0.12912
